"state_abb","DATE","PRCP","SNOW","TMAX","TMIN","Fog","HeavyFog","Thunder","Sleet","Hail","Glaze","Dust","Smoke","DriftSnow","Winds","Mist","Drizzle","Rain","FrzRain","Snow","UnknownPrec","IceFog","State","Demand.Loss..MW.","Date.of.Restoration","Event.Type","Region","Month","dayName","Weekend","Blackout","Season"
"CA",2008-03-18,0,0,73,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Tuesday",0,0,"Spring"
"CA",2008-03-19,0,0,67,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Wednesday",0,0,"Spring"
"CA",2008-03-20,0,0,66,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Thursday",0,0,"Spring"
"CA",2008-03-21,0,0,69,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Friday",0,0,"Spring"
"CA",2008-03-22,0,0,76,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Saturday",1,0,"Spring"
"CA",2008-03-23,0,0,77,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Sunday",1,0,"Spring"
"CA",2008-03-24,0,0,77,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Monday",0,0,"Spring"
"CA",2008-03-25,0,0,72,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Tuesday",0,0,"Spring"
"CA",2008-03-26,0,0,66,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Wednesday",0,0,"Spring"
"CA",2008-03-27,0,0,64,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Thursday",0,0,"Spring"
"CA",2008-03-28,0.08,0,65,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Friday",0,0,"Spring"
"CA",2008-03-29,0.04,0,61,49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Saturday",1,0,"Spring"
"CA",2008-03-30,0,0,64,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Sunday",1,0,"Spring"
"CA",2008-03-31,0,0,66,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Mar","Monday",0,0,"Spring"
"CA",2008-04-01,0,0,69,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Tuesday",0,0,"Spring"
"CA",2008-04-02,0,0,72,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Wednesday",0,0,"Spring"
"CA",2008-04-03,0,0,76,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Thursday",0,0,"Spring"
"CA",2008-04-04,0,0,69,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Friday",0,0,"Spring"
"CA",2008-04-05,0,0,68,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Saturday",1,0,"Spring"
"CA",2008-04-06,0,0,66,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"California",NA,NA,NA,NA,"Apr","Sunday",1,0,"Spring"
