Index, NERC Region,Area Affected,Event Type,Demand Loss (MW),Number of Customers Affected ,Date Event Began,Time Event Began,Date of Restoration,Time of Restoration
3752,RF,Pennsylvania:,Suspicious Activity,1883,Unknown,2022-12-06,08:15:00,2022-12-06,12:15:00
3753,TRE,Texas: Bexar County;,Severe Weather,Unknown,88000,2017-12-07,20:00:00,2017-12-08,17:00:00
3754,WECC,Utah: Weber County;,Actual Physical Attack,0,0,2018-12-07,03:10:00,2018-12-07,04:35:00
3755,SPP RE,Oklahoma: Stephens County;,Actual Physical Attack,2,400,2019-12-07,06:10:00,2019-12-08,02:20:00
3756,WECC,"California: Kern County, Los Angeles County, Orange County, Riverside County, San Bernardino County, Ventura County, Tulare County;",Severe Weather,286,76234,2020-12-07,18:10:00,2020-12-08,21:09:00
3757,RF,Indiana: Putnam County;,Transmission Interruption,0,0,2021-12-07,14:33:00,2021-12-07,15:40:00
3758,SERC/RF,Illinois: Cook County;,Suspicious Activity,0,0,2022-12-07,13:35:00,2022-12-07,13:40:00
3759,SERC,North Carolina: South Carolina:,Suspicious Activity,0,0,2022-12-07,16:42:00,2022-12-07,21:00:00
3760,WECC,Oregon: Multnomah County;,Vandalism,0,0,2016-12-08,01:00:00,2016-12-08,02:30:00
3761,SERC,Louisiana: Mississippi:,Severe Weather,Unknown,79000,2017-12-08,09:30:00,2017-12-08,22:30:00
3762,SERC,Alabama: Georgia: Mississippi:,Severe Weather,865,301872,2017-12-08,10:00:00,2017-12-10,20:50:00
3763,TRE,Texas: Dallas County;,Vandalism,0,0,2019-12-08,13:40:00,2019-12-08,13:41:00
3764,RF,Michigan: Wayne County;,System Operations,0,0,2020-12-08,09:43:00,2020-12-08,10:33:00
3765,NPCC,New York: Broome County;,System Operations,0,0,2021-12-08,09:04:00,2021-12-08,09:35:00
3766,RF,Indiana: Vigo County;,Suspicious Activity,0,0,2022-12-08,12:36:00,,
3767,SERC,North Carolina:,Severe Weather/Transmission Interruption,Unknown,50000,2018-12-09,03:35:00,2018-12-10,23:45:00
3768,SERC,Virginia: Loudoun County;,Vandalism,0,0,2018-12-09,23:28:00,2018-12-10,01:30:00
3769,SERC,North Carolina:,Severe Weather,Unknown,70000,2018-12-09,08:41:00,2018-12-09,18:00:00
3770,SERC,Alabama: Georgia:,Severe Weather,137,41126,2018-12-09,00:23:00,2018-12-09,11:54:00
3771,MRO,Missouri: Kansas:,System Operations,0,0,2020-12-09,13:20:00,2020-12-09,14:30:00
3772,WECC,"California: Ventura County, Santa Barbara County;",Severe Weather/Transmission Interruption,110,51323,2017-12-10,01:25:00,2017-12-10,02:30:00
3773,WECC,Washington: King County;,System Operations,0,0,2020-12-10,16:30:00,2020-12-12,05:00:00
3774,WECC,Idaho: Ada County;,Vandalism,0,0,2021-12-10,12:06:00,2021-12-10,13:07:00
3775,NPCC,Massachusetts: Suffolk County[13];,Transmission Interruption,0,0,2022-12-10,01:14:00,2022-12-10,02:02:00
3776,SERC,"Missouri: Greene County, Dunklin County;",Suspicious Activity,0,0,2022-12-10,11:00:00,2022-12-12,06:00:00
3777,WECC,Utah: Utah County;,Vandalism,0,0,2016-12-11,07:45:00,2016-12-11,07:46:00
3778,WECC,Oregon: Josephine County;,Vandalism,0,0,2018-12-11,07:00:00,2018-12-13,14:00:00
3779,TRE,Texas: Travis County;,System Operations,0,0,2018-12-11,09:10:00,2018-12-11,10:26:00
3780,SPP RE,Oklahoma: Stephens County;,Actual Physical Attack,1,392,2019-12-11,20:53:00,2019-12-11,21:33:00
3781,MRO,North Dakota: Burleigh County;,Transmission Interruption,18,1,2019-12-11,13:27:00,2019-12-11,13:51:00
3782,NPCC,Maine:,System Operations,0,0,2019-12-11,13:22:00,2019-12-11,16:28:00
3783,TRE,Texas: Harris County;,System Operations,0,0,2020-12-11,22:51:00,2020-12-11,23:57:00
3784,SERC,"Tennessee: Davidson County, Sumner County;",Severe Weather,177,107344,2021-12-11,03:13:00,2021-12-15,15:30:00
3785,NPCC,New York:,Severe Weather,Unknown,103000,2021-12-11,18:16:00,2021-12-13,17:00:00
3786,MRO,Michigan:,Severe Weather,Unknown,182410,2021-12-11,11:13:00,2021-12-12,23:06:00
3787,MRO,"Michigan: Van Buren County, Gladwin County, Montcalm County, Branch County, Allegan County, Ionia County, Newaygo County, Mecosta County, Lake County, Midland County, Ogemaw County, Osceola County, Tuscola County;",Severe Weather,Unknown,159947,2021-12-11,10:30:00,2021-12-11,15:00:00
3788,NPCC,New York: Saratoga County;,Actual Physical Attack,3,1208,2017-12-12,02:22:00,2017-12-12,02:25:00
3789,WECC,Oregon: Gilliam County;,Vandalism,0,0,2018-12-12,10:00:00,2018-12-12,10:31:00
3790,SERC,Louisiana: De Soto Parish;,Vandalism,36,Unknown,2021-12-12,06:14:00,2021-12-12,06:40:00
3791,WECC,California: Riverside County;,Cyber Event,0,0,2016-12-13,14:09:00,2016-12-13,14:30:00
3792,NPCC,New York: Suffolk County;,Fuel Supply Deficiency,0,0,2017-12-13,09:55:00,2017-12-13,14:45:00
3793,NPCC,Connecticut: New Haven County[13];,Suspicious Activity,0,0,2017-12-13,08:50:00,,
3794,WECC,"California: Stanislaus County, San Joaquin County;",Suspicious Activity,0,0,2018-12-13,10:00:00,,
3795,WECC,California:,System Operations,298,159239,2020-12-13,06:47:00,2020-12-13,07:36:00
3796,WECC,Washington: Spokane County;,Vandalism,10,583,2022-12-13,23:59:00,2022-12-14,03:39:00
3797,WECC,"Washington: King County, Kitsap County, Island County, Pierce County, Thurston County, Whatcom County, Skagit County, Kittitas County;",Severe Weather,Unknown,150000,2018-12-14,16:00:00,2018-12-17,02:00:00
3798,WECC,Washington: Snohomish County;,Severe Weather,200,60000,2018-12-14,18:00:00,,
3799,TRE,Texas: Jasper County;,Suspicious Activity,0,0,2018-12-14,08:40:00,2018-12-14,10:00:00
3800,WECC,Idaho: Oregon:,Cyber Event,0,0,2020-12-14,11:00:00,,
3801,WECC,California:,System Operations,0,0,2020-12-14,17:01:00,2020-12-14,17:34:00
3802,RF,New Jersey: Pennsylvania: Maryland: Illinois: Delaware: District of Columbia:,Cyber Event,0,0,2020-12-14,01:30:00,,
3803,WECC,California: Humboldt County;,Severe Weather,120,65994,2021-12-14,07:28:00,2021-12-14,13:43:00
3804,WECC,Washington: Chelan County;,System Operations,0,0,2021-12-14,09:39:00,2021-12-14,09:48:00
3805,SERC,Florida: Hillsborough County;,System Operations,0,0,2022-12-14,10:42:00,2022-12-14,12:05:00
3806,RF,Indiana:,Vandalism,0,0,2022-12-14,11:23:00,,
